ticker,aum,expense,segment,name,issuer,return_ytd,return_5y,return_1y,return_1m,return_3y,return_10y,return_3m,flow_3y,flow_3m,flow_1y,flow_ytd,flow_1m
VOT,"10,690,000,000 ",0.07%,Equity: U.S. - Mid Cap Growth,Vanguard Mid-Cap Growth ETF,Vanguard,-17.44%,14.53%,-2.21%,-17.24%,17.83%,13.39%,-17.41%,"$1,674.44M",$530.31M,$680.66M,$53.39M,$85.46M
SCHV,"10,110,000,000 ",0.04%,Equity: U.S. - Large Cap Value,Schwab U.S. Large-Cap Value ETF,Charles Schwab,-4.98%,10.46%,16.92%,-3.53%,13.37%,12.01%,-1.94%,"$2,444.06M",$185.70M,$537.12M,$88.75M,$132.61M
IEI,"10,040,000,000 ",0.15%,"Fixed Income: U.S. - Government, Treasury Investment Grade Intermediate",iShares 3-7 Year Treasury Bond ETF,Blackrock,-1.69%,2.13%,-3.99%,-1.78%,2.76%,1.63%,-1.81%,"$1,975.41M",-$387.96M,-$839.61M,-$143.14M,-$181.82M
IWO,"9,990,000,000 ",0.24%,Equity: U.S. - Small Cap Growth,iShares Russell 2000 Growth ETF,Blackrock,-16.82%,9.87%,-21.83%,-17.20%,10.22%,11.31%,-20.10%,"-$1,375.76M",$240.46M,-$87.74M,-$474.73M,-$415.73M
NOBL,"9,710,000,000 ",0.35%,Equity: U.S. - Large Cap,ProShares S&P 500 Dividend Aristocrats ETF,ProShares,-6.10%,11.90%,16.50%,-3.99%,15.27%,--,-0.97%,"$3,186.23M",$408.90M,"$1,295.75M",$157.51M,$162.31M
FNDX,"9,680,000,000 ",0.25%,Equity: U.S. - Large Cap,Schwab Fundamental U.S. Large Company Index ETF,Charles Schwab,-3.75%,13.70%,20.99%,-2.53%,18.72%,--,-0.58%,"$2,966.87M","$1,619.09M","$2,891.02M","$1,145.68M","$1,210.01M"
SCHM,"9,470,000,000 ",0.04%,Equity: U.S. - Mid Cap,Schwab U.S. Mid-Cap ETF,Charles Schwab,-10.07%,10.80%,3.02%,-8.98%,12.90%,12.52%,-10.36%,"$1,966.33M",$311.16M,$905.47M,$99.81M,$168.10M
VGIT,"9,410,000,000 ",0.04%,"Fixed Income: U.S. - Government, Treasury Investment Grade Intermediate",Vanguard Intermediate-Term Treasury Index ETF,Vanguard,-1.87%,2.38%,-4.14%,-1.97%,3.09%,1.83%,-1.76%,"$5,765.99M",$569.38M,"$2,785.72M",$56.84M,$90.10M
SPLV,"9,290,000,000 ",0.25%,Equity: U.S. - Large Cap,Invesco S&P 500 Low Volatility ETF,Invesco,-7.11%,11.10%,13.74%,-4.86%,11.75%,11.94%,0.13%,"-$1,286.63M","$1,277.93M",$157.36M,$744.87M,$991.44M
STIP,"9,290,000,000 ",0.03%,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade Short-Term",iShares 0-5 Year TIPS Bond ETF,Blackrock,-0.97%,3.13%,4.06%,-0.69%,4.80%,1.66%,-0.58%,"$6,766.41M","$2,118.05M","$5,960.23M",$384.39M,$479.29M
SCHO,"9,010,000,000 ",0.04%,"Fixed Income: U.S. - Government, Treasury Investment Grade Short-Term",Schwab Short-Term U.S. Treasury ETF,Charles Schwab,-0.65%,1.41%,-1.33%,-0.67%,1.76%,0.94%,-0.92%,"$4,244.30M",-$10.39M,"$1,628.36M",-$180.85M,$70.76M
FTCS,"8,800,000,000 ",0.56%,Equity: U.S. - Large Cap,First Trust Capital Strength ETF,First Trust,-9.41%,13.33%,14.62%,-7.76%,15.77%,12.63%,-3.87%,"$4,809.48M",$396.57M,$702.19M,$135.11M,$181.37M
OEF,"8,770,000,000 ",0.20%,Equity: U.S. - Large Cap,iShares S&P 100 ETF,Blackrock,-8.58%,16.61%,14.36%,-8.04%,21.32%,15.08%,-4.12%,$809.34M,$514.87M,$628.40M,$88.13M,$154.10M
JNK,"8,760,000,000 ",0.40%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",SPDR Bloomberg High Yield Bond ETF,State Street Global Advisors,-2.52%,4.41%,1.42%,-2.71%,5.40%,4.68%,-1.58%,$131.49M,$422.80M,"-$3,200.59M",-$661.60M,-$727.31M
USHY,"8,660,000,000 ",0.15%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",iShares Broad USD High Yield Corporate Bond ETF,Blackrock,-2.57%,--,2.23%,-2.67%,6.13%,--,-1.58%,"$8,209.75M",$588.81M,"$1,317.66M",-$23.23M,$38.36M
SCHZ,"8,640,000,000 ",0.04%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",Schwab U.S. Aggregate Bond ETF,Charles Schwab,-2.43%,2.98%,-3.63%,-2.45%,3.71%,2.48%,-2.21%,"$2,806.28M",-$356.80M,$361.11M,-$258.99M,-$248.21M
IJS,"8,520,000,000 ",0.18%,Equity: U.S. - Small Cap Value,iShares S&P Small-Cap 600 Value ETF,Blackrock,-5.41%,8.83%,12.21%,-4.68%,12.40%,11.82%,-4.96%,$477.40M,-$434.72M,$346.18M,$83.08M,$119.73M
IBB,"8,500,000,000 ",0.45%,Equity: U.S. Biotechnology,iShares Biotechnology ETF,Blackrock,-17.30%,7.10%,-23.27%,-18.40%,5.09%,12.92%,-21.11%,-$749.92M,$423.67M,-$12.20M,$180.97M,$181.38M
SOXX,"8,460,000,000 ",0.43%,Equity: U.S. Semiconductors,iShares Semiconductor ETF,Blackrock,-13.84%,30.90%,14.50%,-13.57%,40.56%,25.22%,0.59%,"$4,246.49M",$999.48M,"$2,528.68M",$44.32M,$208.06M
RDVY,"8,460,000,000 ",0.50%,Equity: U.S. - Large Cap,First Trust Rising Dividend Achievers ETF,First Trust,-5.31%,15.70%,22.18%,-3.99%,20.90%,--,-2.62%,"$6,918.09M","$2,125.06M","$5,896.23M",$883.39M,"$1,061.72M"
IJJ,"8,450,000,000 ",0.18%,Equity: U.S. - Mid Cap Value,iShares S&P Mid-Cap 400 Value ETF,Blackrock,-5.57%,9.04%,17.57%,-3.85%,13.21%,11.94%,-3.33%,$346.55M,-$531.05M,"$1,095.14M",-$113.66M,$13.36M
IYW,"8,230,000,000 ",0.43%,Equity: U.S. Information Technology,iShares U.S. Technology ETF,Blackrock,-13.57%,26.50%,11.46%,-13.52%,33.19%,20.30%,-7.98%,$73.51M,-$28.36M,$581.53M,-$513.08M,-$501.55M
IHI,"7,880,000,000 ",0.41%,Equity: U.S. Health Care Equipment,iShares U.S. Medical Devices ETF,Blackrock,-13.18%,20.20%,2.46%,-12.75%,17.86%,19.02%,-12.02%,"$1,984.49M",$102.02M,"-$1,115.46M",-$61.77M,-$25.49M
FDN,"7,870,000,000 ",0.51%,Equity: U.S. Internet,First Trust Dow Jones Internet Index Fund,First Trust,-18.70%,16.35%,-17.48%,-19.72%,12.14%,18.57%,-24.45%,"-$3,316.13M",-$472.75M,"-$1,497.11M",-$401.85M,-$401.94M
XLB,"7,860,000,000 ",0.12%,Equity: U.S. Materials,Materials Select Sector SPDR Fund,State Street Global Advisors,-8.99%,11.43%,15.06%,-6.62%,18.15%,10.57%,-3.53%,"$2,113.25M",$512.21M,$687.57M,$377.93M,$283.04M
SPSB,"7,790,000,000 ",0.07%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Short-Term",SPDR Portfolio Short Term Corporate Bond ETF,State Street Global Advisors,-0.77%,2.17%,-0.94%,-0.68%,2.50%,1.89%,-0.89%,"$3,161.89M",$44.70M,$661.42M,-$107.75M,-$110.84M
HDV,"7,680,000,000 ",0.08%,Equity: U.S. - High Dividend Yield,iShares Core High Dividend ETF,Blackrock,0.14%,8.24%,16.96%,1.34%,9.52%,10.16%,3.81%,$266.34M,$44.65M,$922.53M,$158.84M,$179.03M
IJK,"7,350,000,000 ",0.17%,Equity: U.S. - Mid Cap Growth,iShares S&P Mid-Cap 400 Growth ETF,Blackrock,-13.43%,10.50%,-2.90%,-12.06%,13.50%,11.97%,-12.07%,"-$2,583.93M",-$74.49M,-$456.02M,-$207.70M,-$177.83M
PGX,"7,350,000,000 ",0.52%,"Fixed Income: U.S. - Corporate, Preferred",Invesco Preferred ETF,Invesco,-3.49%,5.36%,1.06%,-2.52%,6.19%,6.08%,-3.14%,"$2,859.41M",$107.78M,$587.24M,-$54.58M,-$61.26M
VONG,"7,220,000,000 ",0.08%,Equity: U.S. - Large Cap Growth,Vanguard Russell 1000 Growth ETF,Vanguard,-13.53%,20.66%,6.72%,-13.32%,24.71%,17.29%,-9.73%,"$2,532.41M",$286.07M,"$1,242.67M",$77.99M,-$11.56M
VDE,"7,130,000,000 ",0.10%,Equity: U.S. Energy,Vanguard Energy ETF,Vanguard,16.04%,0.78%,67.12%,17.07%,6.28%,1.52%,8.89%,"$2,087.54M",$512.14M,"$1,043.85M",$309.04M,$334.18M
VOOG,"6,980,000,000 ",0.10%,Equity: U.S. - Large Cap Growth,Vanguard S&P 500 Growth ETF,Vanguard,-13.03%,19.67%,10.53%,-12.71%,23.70%,16.93%,-7.78%,"$2,485.82M",$597.17M,"$1,481.09M",$87.51M,$125.32M
SUB,"6,880,000,000 ",0.07%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Short-Term",iShares Short-Term National Muni Bond ETF,Blackrock,-1.25%,1.32%,-1.20%,-1.24%,1.36%,0.96%,-1.17%,"$4,771.47M",$653.16M,"$2,669.32M",$106.94M,$117.65M
MOAT,"6,840,000,000 ",0.47%,Equity: U.S. - Total Market,VanEck Morningstar Wide Moat ETF,VanEck,-5.31%,16.51%,14.75%,-4.48%,19.07%,--,-3.92%,"$3,460.15M",$200.91M,"$2,016.16M",$23.32M,$61.32M
VONV,"6,820,000,000 ",0.08%,Equity: U.S. - Large Cap Value,Vanguard Russell 1000 Value ETF,Vanguard,-4.81%,9.63%,16.73%,-3.37%,13.30%,11.85%,-2.89%,"$3,896.19M",$332.89M,"$2,665.93M",$33.00M,$53.28M
DGRW,"6,770,000,000 ",0.28%,Equity: U.S. - Total Market,WisdomTree US Quality Dividend Growth Fund,WisdomTree,-5.72%,15.28%,15.30%,-4.28%,18.17%,--,0.32%,"$2,370.03M",$92.34M,$721.27M,$50.34M,$47.04M
SPAB,"6,760,000,000 ",0.03%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",SPDR Portfolio Aggregate Bond ETF,State Street Global Advisors,-2.33%,3.01%,-3.53%,-2.49%,3.74%,2.54%,-2.17%,"$2,922.12M",$377.73M,"$1,544.74M",$363.07M,$401.61M
USIG,"6,670,000,000 ",0.04%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",iShares Broad USD Investment Grade Corporate Bond ETF,Blackrock,-3.23%,4.27%,-3.72%,-3.38%,5.53%,3.76%,-3.12%,"$4,007.48M",$208.73M,"$1,058.59M",$262.61M,$215.18M
IYR,"6,660,000,000 ",0.41%,Equity: U.S. Real Estate,iShares U.S. Real Estate ETF,Blackrock,-11.00%,9.21%,21.21%,-8.05%,11.67%,9.26%,-5.68%,"$2,045.00M",-$3.69M,"$2,142.18M",$146.11M,$594.68M
SCHH,"6,600,000,000 ",0.07%,Equity: U.S. REITs,Schwab U.S. REIT ETF,Charles Schwab,-10.46%,5.61%,23.64%,-7.36%,7.12%,7.88%,-3.51%,"$1,075.02M",$64.24M,$635.00M,-$31.61M,$30.84M
DFAT,"6,590,000,000 ",0.34%,Equity: U.S. - Extended Market Value,Dimensional U.S. Targeted Value ETF,Dimensional Fund Advisors LP,-5.39%,--,--,-3.71%,--,--,-3.51%,$583.62M,$250.98M,$583.62M,$126.93M,$148.22M
VDC,"6,470,000,000 ",0.10%,Equity: U.S. Consumer Staples,Vanguard Consumer Staples ETF,Vanguard,-3.99%,9.89%,13.78%,-1.61%,15.52%,11.67%,3.92%,$403.22M,$287.58M,$319.93M,-$14.33M,$35.28M
VCR,"6,340,000,000 ",0.10%,Equity: U.S. Consumer Discretionary,Vanguard Consumer Discretionary ETF,Vanguard,-13.08%,18.70%,1.42%,-12.42%,23.64%,17.74%,-11.18%,"$1,705.87M",$71.16M,"$1,047.27M",-$170.43M,-$170.45M
VTWO,"6,300,000,000 ",0.10%,Equity: U.S. - Small Cap,Vanguard Russell 2000 ETF,Vanguard,-12.08%,8.93%,-7.23%,-11.81%,11.47%,11.06%,-13.78%,"$4,423.82M",$648.71M,"$3,172.73M",-$139.95M,-$63.46M
FTEC,"6,240,000,000 ",0.08%,Equity: U.S. Information Technology,Fidelity MSCI Information Technology Index ETF,Fidelity,-13.48%,26.00%,9.41%,-13.18%,31.67%,--,-7.49%,"$1,456.49M",$208.06M,$376.59M,$54.87M,$68.50M
ISTB,"6,240,000,000 ",0.06%,"Fixed Income: U.S. - Broad Market, Broad-based Short-Term",iShares Core 1-5 Year USD Bond ETF,Blackrock,-1.09%,2.20%,-1.85%,-1.07%,2.65%,--,-1.32%,"$4,059.24M",$122.13M,"$1,628.29M",-$44.96M,-$44.96M
JEPI,"6,220,000,000 ",0.35%,Equity: U.S. - Large Cap,JPMorgan Equity Premium Income ETF,JPMorgan Chase,-6.22%,--,12.61%,-4.98%,--,--,-2.66%,"$6,296.66M","$2,116.47M","$6,132.33M",$711.78M,$912.66M
BKLN,"6,200,000,000 ",0.65%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Floating Rate",Invesco Senior Loan ETF,Invesco,-0.38%,2.66%,1.27%,-0.15%,3.11%,3.16%,0.27%,"$1,238.36M",-$609.12M,$457.31M,-$127.97M,-$112.54M
ICSH,"6,190,000,000 ",0.08%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Ultra-Short Term",BlackRock Ultra Short-Term Bond ETF,Blackrock,-0.14%,1.71%,-0.04%,-0.10%,1.50%,--,-0.21%,"$5,255.68M",$468.68M,"$1,016.61M",$108.28M,$229.19M
XBI,"6,170,000,000 ",0.35%,Equity: U.S. Biotechnology,SPDR S&P Biotech ETF,State Street Global Advisors,-19.98%,7.58%,-41.95%,-24.22%,2.92%,14.04%,-27.76%,"$2,392.61M","$1,432.49M","$1,722.33M",$335.21M,$531.35M
QYLD,"5,970,000,000 ",0.60%,Equity: U.S. - Large Cap,Global X NASDAQ 100 Covered Call ETF,"Mirae Asset Global Investments Co., Ltd.",-8.74%,8.12%,-1.94%,-8.47%,9.04%,--,-8.05%,"$6,297.11M","$1,767.02M","$4,996.41M",$707.66M,$878.24M
HYLB,"5,970,000,000 ",0.15%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Xtrackers USD High Yield Corporate Bond ETF,DWS,-2.38%,4.46%,1.25%,-0.18%,5.14%,--,-1.61%,"$3,625.87M",-$621.95M,"-$1,180.18M",-$482.66M,-$402.94M
ESGV,"5,920,000,000 ",0.09%,Equity: U.S. - Total Market,Vanguard ESG U.S. Stock ETF,Vanguard,-11.03%,--,9.29%,-10.39%,20.74%,--,-7.72%,"$4,860.70M",$743.66M,"$2,449.97M",$230.47M,$291.85M
LMBS,"5,910,000,000 ",0.68%,"Fixed Income: U.S. - Broad Market, Asset-backed Short-Term",First Trust Low Duration Opportunities ETF,First Trust,-0.43%,-0.54%,-1.86%,-0.52%,-0.26%,--,-0.83%,"$3,869.77M",-$719.38M,-$501.65M,-$297.61M,-$297.61M
DFUS,"5,810,000,000 ",0.11%,Equity: U.S. - Total Market,Dimensional U.S. Equity ETF,Dimensional Fund Advisors LP,-9.25%,--,--,-8.52%,--,--,-5.85%,$184.70M,$88.23M,$184.70M,$39.70M,$47.95M
XLRE,"5,800,000,000 ",0.12%,Equity: U.S. Real Estate,Real Estate Select Sector SPDR Fund,State Street Global Advisors,-11.06%,11.98%,26.57%,-7.69%,15.25%,--,-3.27%,"$2,159.68M","$1,446.16M","$2,982.97M",$221.91M,$481.20M
BLV,"5,720,000,000 ",0.05%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Long-Term",Vanguard Long-Term Bond ETF,Vanguard,-5.00%,7.24%,-5.83%,-5.44%,8.17%,7.14%,-4.01%,"$2,619.69M",-$69.50M,$668.97M,-$218.86M,-$208.71M
AMLP,"5,720,000,000 ",0.90%,Equity: U.S. MLPs,Alerian MLP ETF,SS&C,9.74%,-3.40%,42.57%,13.99%,-0.71%,-0.63%,1.91%,-$823.83M,$195.19M,$81.63M,$220.88M,$141.01M
KRE,"5,720,000,000 ",0.35%,Equity: U.S. Regional Banks,SPDR S&P Regional Banking ETF,State Street Global Advisors,1.83%,7.35%,30.01%,3.07%,13.60%,13.14%,0.20%,"$2,164.12M",$181.63M,"$2,414.73M",$747.92M,$624.46M
PRF,"5,710,000,000 ",0.39%,Equity: U.S. - Large Cap,Invesco FTSE RAFI U.S. 1000 ETF,Invesco,-3.90%,12.47%,20.07%,-2.60%,17.49%,13.46%,-1.06%,"-$1,362.05M",$164.39M,$277.55M,$96.62M,$106.86M
SPTM,"5,690,000,000 ",0.03%,Equity: U.S. - Total Market,SPDR Portfolio S&P 1500 Composite Stock Market ETF,State Street Global Advisors,-8.71%,15.26%,14.00%,-7.78%,19.28%,14.55%,-4.78%,"$1,034.55M",$258.12M,$752.27M,$131.73M,$166.76M
IJT,"5,550,000,000 ",0.18%,Equity: U.S. - Small Cap Growth,iShares S&P Small-Cap 600 Growth ETF,Blackrock,-12.26%,10.93%,-2.74%,-11.00%,12.77%,13.10%,-9.53%,"-$1,529.04M",-$21.65M,-$473.00M,-$83.88M,-$76.90M
SPIB,"5,550,000,000 ",0.04%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",SPDR Portfolio Intermediate Term Corporate Bond ETF,State Street Global Advisors,-1.91%,3.44%,-2.81%,-1.94%,4.35%,3.26%,-1.93%,"$1,129.46M",-$382.44M,-$275.72M,$7.50M,$36.36M
CWB,"5,500,000,000 ",0.40%,"Fixed Income: U.S. - Corporate, Convertible",SPDR Bloomberg Convertible Securities ETF,State Street Global Advisors,-10.05%,13.67%,-12.27%,-10.39%,17.55%,11.76%,-14.09%,-$262.74M,-$773.86M,-$617.73M,-$345.39M,-$312.24M
SPYD,"5,450,000,000 ",0.07%,Equity: U.S. - High Dividend Yield,SPDR Portfolio S&P 500 High Dividend ETF,State Street Global Advisors,0.05%,8.51%,26.23%,1.91%,10.38%,--,2.78%,"$3,806.44M",$239.52M,"$2,321.13M",$153.66M,$145.28M
SPTL,"5,450,000,000 ",0.06%,"Fixed Income: U.S. - Government, Treasury Investment Grade Long-Term",SPDR Portfolio Long Term Treasury ETF,State Street Global Advisors,-4.91%,5.40%,-7.18%,-5.20%,6.96%,4.13%,-2.85%,"$3,597.18M","$1,295.44M","$2,741.92M",$792.55M,$800.99M
SHYG,"5,340,000,000 ",0.30%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Short-Term",iShares 0-5 Year High Yield Corporate Bond ETF,Blackrock,-1.35%,4.07%,3.03%,-1.37%,4.25%,--,-0.76%,"$3,138.39M",-$3.69M,$457.39M,-$85.57M,-$85.57M
VPU,"5,230,000,000 ",0.10%,Equity: U.S. Utilities,Vanguard Utilities ETF,Vanguard,-6.84%,9.78%,8.38%,-4.38%,10.20%,10.49%,-0.17%,"$1,503.58M",$165.29M,$564.11M,$9.94M,-$5.26M
SHM,"5,110,000,000 ",0.20%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Short-Term",SPDR Nuveen Bloomberg Short Term Municipal Bond ETF,State Street Global Advisors,-1.46%,1.29%,-1.97%,-1.42%,1.38%,1.04%,-1.40%,"$1,413.79M",$118.55M,$777.96M,-$43.88M,-$24.21M
QLD,"5,050,000,000 ",0.95%,Leveraged Equity: U.S. - Large Cap,ProShares Ultra QQQ,ProShares,-25.13%,61.79%,111.72%,-24.94%,90.94%,46.59%,-18.17%,-$117.32M,$122.42M,$432.39M,-$47.51M,$5.80M
MGV,"5,050,000,000 ",0.07%,Equity: U.S. - Large Cap Value,Vanguard Mega Cap Value ETF,Vanguard,-2.66%,11.82%,20.31%,-1.44%,14.35%,13.03%,0.67%,"$1,653.17M",$300.80M,$754.19M,$169.77M,$196.30M
SKYY,"5,040,000,000 ",0.60%,Equity: U.S. Software & Services,First Trust Cloud Computing ETF,First Trust,-16.83%,19.05%,-13.06%,-17.97%,18.18%,16.54%,-23.33%,"$1,270.84M",-$137.96M,-$452.58M,-$149.56M,-$154.90M
PAVE,"5,030,000,000 ",0.47%,Equity: U.S. Infrastructure,Global X U.S. Infrastructure Development ETF,"Mirae Asset Global Investments Co., Ltd.",-10.25%,--,19.68%,-8.44%,21.08%,--,-5.95%,"$4,546.87M",$578.12M,"$3,677.38M",-$23.47M,-$14.89M
SPMD,"5,020,000,000 ",0.05%,Equity: U.S. - Mid Cap,SPDR Portfolio S&P 400 Mid Cap ETF,State Street Global Advisors,-9.55%,10.17%,7.13%,-8.01%,13.58%,11.95%,-7.69%,"$2,589.35M",$486.41M,"$1,136.23M",-$114.15M,-$79.48M
VCLT,"5,010,000,000 ",0.04%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Long-Term",Vanguard Long-Term Corporate Bond ETF,Vanguard,-5.57%,6.22%,-5.37%,-5.95%,8.46%,5.69%,-5.23%,"$2,125.50M",-$88.97M,-$431.79M,-$110.03M,-$56.87M
FALN,"4,860,000,000 ",0.25%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",iShares Fallen Angels USD Bond ETF,Blackrock,-3.77%,6.65%,1.38%,-3.80%,9.43%,--,-3.36%,"$4,854.04M",$372.75M,"$3,681.65M",$12.32M,$31.71M
VIS,"4,840,000,000 ",0.10%,Equity: U.S. Industrials,Vanguard Industrials ETF,Vanguard,-7.29%,10.59%,11.53%,-5.84%,14.53%,12.73%,-5.78%,$505.06M,-$199.65M,$235.89M,-$58.17M,-$37.94M
FNDA,"4,720,000,000 ",0.25%,Equity: U.S. - Small Cap,Schwab Fundamental U.S. Small Company Index ETF,Charles Schwab,-7.75%,9.68%,12.73%,-6.46%,13.96%,--,-6.44%,$279.95M,$134.60M,$270.58M,$30.33M,$41.39M
ANGL,"4,700,000,000 ",0.35%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",VanEck Fallen Angel High Yield Bond ETF,VanEck,-3.91%,6.85%,2.53%,-3.91%,9.57%,--,-3.14%,"$3,520.73M",-$419.61M,$461.08M,-$548.80M,-$426.85M
SOXL,"4,660,000,000 ",0.96%,Leveraged Equity: U.S. Semiconductors,Direxion Daily Semiconductor Bull 3X Shares,Direxion,-38.07%,57.99%,7.90%,-37.52%,80.02%,53.59%,-6.32%,$841.45M,"$1,130.11M","$1,447.29M","$1,663.18M","$1,295.45M"
XOP,"4,400,000,000 ",0.35%,"Equity: U.S. Oil, Gas & Consumable Fuels",SPDR S&P Oil & Gas Exploration & Production ETF,State Street Global Advisors,9.39%,-7.46%,61.54%,9.89%,-2.94%,-5.87%,-4.60%,"$1,876.03M",$18.37M,$185.47M,$536.06M,$421.67M
IWY,"4,370,000,000 ",0.20%,Equity: U.S. - Large Cap Growth,iShares Russell Top 200 Growth ETF,Blackrock,-12.71%,22.19%,10.54%,-12.47%,26.82%,18.23%,-7.25%,"$1,457.70M",$315.03M,$595.53M,$77.18M,$103.63M
SSO,"4,280,000,000 ",0.91%,Leveraged Equity: U.S. - Large Cap,ProShares Ultra S&P 500,ProShares,-16.90%,24.99%,26.88%,-15.44%,32.71%,25.34%,-9.86%,-$427.27M,-$149.39M,$137.38M,-$62.64M,-$55.44M
TFI,"4,220,000,000 ",0.23%,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Long-Term",SPDR Nuveen Bloomberg Municipal Bond ETF,State Street Global Advisors,-2.22%,3.36%,-2.02%,-2.24%,3.68%,3.02%,-1.01%,"$1,240.82M",$297.49M,$923.79M,$60.34M,$101.74M
ONEQ,"4,210,000,000 ",0.21%,Equity: U.S. - Total Market,Fidelity NASDAQ Composite Index ETF,Fidelity,-13.45%,20.09%,0.26%,-13.55%,24.86%,18.22%,-10.89%,$756.44M,$108.26M,$428.15M,-$19.19M,-$0.72M
SPSM,"4,200,000,000 ",0.05%,Equity: U.S. - Small Cap,SPDR Portfolio S&P 600 Small Cap ETF,State Street Global Advisors,-8.84%,10.38%,4.83%,-7.85%,13.56%,--,-7.18%,"$1,709.12M",$89.46M,$394.43M,-$54.43M,-$38.75M
SPMB,"4,200,000,000 ",0.04%,"Fixed Income: U.S. - Government, Mortgage-backed Investment Grade",SPDR Portfolio Mortgage Backed Bond ETF,State Street Global Advisors,-2.01%,2.00%,-3.51%,-1.85%,2.18%,1.86%,-2.09%,"$4,127.57M",$180.34M,"$1,453.06M",$37.60M,$62.94M
DFAS,"4,200,000,000 ",0.34%,Equity: U.S. - Small Cap,Dimensional U.S. Small Cap ETF,Dimensional Fund Advisors LP,-9.37%,--,--,-8.14%,--,--,-7.24%,$423.50M,$234.62M,$423.50M,$80.64M,$102.23M
SJNK,"4,140,000,000 ",0.40%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Short-Term",SPDR Bloomberg Short Term High Yield Bond ETF,State Street Global Advisors,-1.22%,4.54%,3.36%,-1.22%,5.20%,--,-0.79%,"$1,116.84M",-$477.20M,$468.75M,-$24.04M,-$24.05M
SLYV,"4,130,000,000 ",0.15%,Equity: U.S. - Small Cap Value,SPDR S&P 600 Small Cap Value ETF,State Street Global Advisors,-5.23%,9.79%,12.53%,-4.62%,12.59%,11.28%,-4.86%,"$1,250.87M",$215.55M,$506.00M,-$30.39M,$24.40M
FTSM,"4,120,000,000 ",0.25%,"Fixed Income: U.S. - Broad Market, Broad-based Short-Term",First Trust Enhanced Short Maturity ETF,First Trust,-0.05%,1.44%,-0.09%,-0.05%,1.20%,--,-0.17%,$15.08M,-$329.21M,-$926.18M,-$128.60M,-$152.53M
MGC,"4,100,000,000 ",0.07%,Equity: U.S. - Large Cap,Vanguard Mega Cap ETF,Vanguard,-9.05%,16.37%,13.07%,-8.47%,20.40%,15.22%,-5.37%,"$1,156.52M",$5.16M,$282.62M,-$36.77M,-$28.38M
SUSA,"4,020,000,000 ",0.25%,Equity: U.S. - Total Market,iShares MSCI USA ESG Select ETF,Blackrock,-10.35%,16.79%,13.41%,-9.24%,21.83%,14.38%,-6.71%,"$2,172.35M",$275.26M,"$1,228.01M",-$352.20M,-$315.00M
VAW,"3,880,000,000 ",0.10%,Equity: U.S. Materials,Vanguard Materials ETF,Vanguard,-9.11%,10.37%,14.86%,-6.73%,17.05%,10.27%,-4.27%,"$1,177.42M",$137.66M,"$1,032.80M",$27.08M,$22.23M
VOX,"3,770,000,000 ",0.10%,Equity: U.S. Communication Services,Vanguard Communication Services ETF,Vanguard,-11.07%,5.58%,-2.87%,-11.67%,15.79%,9.73%,-14.14%,"$1,511.79M",-$235.70M,$613.15M,-$26.10M,-$32.97M
SPTS,"3,760,000,000 ",0.06%,"Fixed Income: U.S. - Government, Treasury Investment Grade Short-Term",SPDR Portfolio Short Term Treasury ETF,State Street Global Advisors,-0.62%,1.40%,-1.31%,-0.69%,1.78%,1.01%,-0.90%,"$2,836.14M",$284.23M,$808.39M,-$109.11M,-$78.69M
QQQM,"3,750,000,000 ",0.15%,Equity: U.S. - Large Cap,Invesco NASDAQ 100 ETF,Invesco,-13.29%,--,5.36%,-13.13%,--,--,-8.88%,"$3,539.36M","$1,654.90M","$3,443.37M",$334.31M,$408.56M
SCHR,"3,730,000,000 ",0.04%,"Fixed Income: U.S. - Government, Treasury Investment Grade Intermediate",Schwab Intermediate-Term U.S. Treasury ETF,Charles Schwab,-1.92%,2.40%,-4.18%,-2.03%,3.08%,1.82%,-1.81%,-$233.52M,-$93.28M,-$78.68M,$266.11M,$392.47M
SPIP,"3,720,000,000 ",0.12%,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade",SPDR Portfolio TIPS ETF,State Street Global Advisors,-3.30%,4.58%,2.23%,-2.40%,7.36%,2.56%,-2.65%,"$1,975.83M",$605.79M,"$1,405.31M",$92.42M,$133.12M
